[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 220 Servicio Preparado
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 354 MENOR#3
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39260 || MENSAJE CLIENTE: ADIOS

[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 354 MENOR#3
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39252 || MENSAJE CLIENTE: RESPUESTA 110


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 221 Cerrando el Servicio
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39266 || MENSAJE CLIENTE: RESPUESTA 110


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 354 MENOR#2
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 354 MENOR#2
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39252 || MENSAJE CLIENTE: +


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39266 || MENSAJE CLIENTE: RESPUESTA 220


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 354 MENOR#1
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39252 || MENSAJE CLIENTE: RESPUESTA 51


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39266 || MENSAJE CLIENTE: +


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 354 MENOR#1
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39252 || MENSAJE CLIENTE: ADIOS

[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39266 || MENSAJE CLIENTE: RESPUESTA 51


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 221 Cerrando el Servicio
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 375 FALLO
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39266 || MENSAJE CLIENTE: RESPUESTA 110


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39266 || MENSAJE CLIENTE: RESPUESTA 554


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39266 || MENSAJE CLIENTE: +


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 250 Adivina el valor entre 0 y 100#4
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39266 || MENSAJE CLIENTE: RESPU 34


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39266 || MENSAJE CLIENTE: RESPUESTA 110


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 354 MENOR#3
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39266 || MENSAJE CLIENTE: RESPUESTA 554


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 354 MENOR#2
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39266 || MENSAJE CLIENTE: ADIOS

[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 221 Cerrando el Servicio
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 220 Servicio Preparado
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 50992 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 50992 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 250 Adivina el valor entre 0 y 100#4
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 50992 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 50992 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 354 MENOR#-1
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 50992 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 354 MENOR#-1
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 50992 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 250 Adivina el valor entre 0 y 100#5
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 50992 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 354 MENOR#-1
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 50992 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 221 Cerrando el Servicio
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 220 Servicio Preparado
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 220 Servicio Preparado
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 36112 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 36112 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 36112 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 36112 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 36112 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 221 Cerrando el Servicio
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 49860 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 250 Adivina el valor entre 0 y 100#4
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 49860 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 49860 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 354 MENOR#-1
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 49860 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 354 MENOR#-1
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 49860 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 354 MENOR#-1
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 49860 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 250 Adivina el valor entre 0 y 100#5
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 49860 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 354 MENOR#-1
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 49860 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 354 MENOR#-1
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 49860 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 354 MENOR#-1
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 49860 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 250 Adivina el valor entre 0 y 100#5
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 49860 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: UDP || PUERTO: 49860 || MENSAJE CLIENTE: €Ia≈≥ *üh
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: UDP || PUERTO: 0 || MENSAJE SERVIDOR: 354 MENOR#-1
