[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:19 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: TCP || PUERTO: 39004 || MENSAJE SERVIDOR: 220 Servicio Preparado
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:19 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: TCP || PUERTO: 39004 || MENSAJE SERVIDOR: 354 MENOR#1
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:19 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: TCP || PUERTO: 51198 || MENSAJE CLIENTE: +


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:19 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: TCP || PUERTO: 39004 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:19 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: TCP || PUERTO: 51198 || MENSAJE CLIENTE: RESPUESTA 51


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:19 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: TCP || PUERTO: 39004 || MENSAJE SERVIDOR: 375 FALLO
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:19 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: TCP || PUERTO: 51198 || MENSAJE CLIENTE: RESPUESTA 110


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:19 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: TCP || PUERTO: 39004 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:19 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: TCP || PUERTO: 51198 || MENSAJE CLIENTE: RESPUESTA 554


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:19 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: TCP || PUERTO: 39004 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:19 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: TCP || PUERTO: 51198 || MENSAJE CLIENTE: +


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:19 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: TCP || PUERTO: 39004 || MENSAJE SERVIDOR: 250 Adivina el valor entre 0 y 100#4
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:19 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: TCP || PUERTO: 51198 || MENSAJE CLIENTE: RESPU 34


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:19 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: TCP || PUERTO: 39004 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:19 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: TCP || PUERTO: 51198 || MENSAJE CLIENTE: RESPUESTA 110


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:19 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: TCP || PUERTO: 39004 || MENSAJE SERVIDOR: 354 MENOR#3
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:19 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: TCP || PUERTO: 51198 || MENSAJE CLIENTE: RESPUESTA 554


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:19 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: TCP || PUERTO: 39004 || MENSAJE SERVIDOR: 354 MENOR#2
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:19 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: TCP || PUERTO: 51198 || MENSAJE CLIENTE: ADIOS

[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:19 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: TCP || PUERTO: 39004 || MENSAJE SERVIDOR: 221 Cerrando el Servicio
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 220 Servicio Preparado
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 37565 || MENSAJE CLIENTE: HOLA
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 250 Adivina el valor entre 0 y 100#4
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 37565 || MENSAJE CLIENTE: RESPUESTA no lo se
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 37565 || MENSAJE CLIENTE: RESPUESTA 67
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 354 MENOR#3
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 37565 || MENSAJE CLIENTE: RESPUESTA 110
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 354 MENOR#2
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 37565 || MENSAJE CLIENTE: RESPUESTA 220
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 354 MENOR#1
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 37565 || MENSAJE CLIENTE: +
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 37565 || MENSAJE CLIENTE: RESPUESTA 51
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 375 FALLO
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 37565 || MENSAJE CLIENTE: RESPUESTA 110
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 37565 || MENSAJE CLIENTE: RESPUESTA 554
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 37565 || MENSAJE CLIENTE: +
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 250 Adivina el valor entre 0 y 100#4
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 37565 || MENSAJE CLIENTE: RESPU 34
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 37565 || MENSAJE CLIENTE: RESPUESTA 110
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 354 MENOR#3
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 37565 || MENSAJE CLIENTE: RESPUESTA 554
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 354 MENOR#2
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 37565 || MENSAJE CLIENTE: ADIOS
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:27:29 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 221 Cerrando el Servicio
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 220 Servicio Preparado
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 50792 || MENSAJE CLIENTE: HOLA
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 250 Adivina el valor entre 0 y 100#4
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 50792 || MENSAJE CLIENTE: RESPUESTA no lo se
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 50792 || MENSAJE CLIENTE: RESPUESTA 67
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 354 MENOR#3
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 50792 || MENSAJE CLIENTE: RESPUESTA 110
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 354 MENOR#2
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 50792 || MENSAJE CLIENTE: RESPUESTA 220
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 354 MENOR#1
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 50792 || MENSAJE CLIENTE: +
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 50792 || MENSAJE CLIENTE: RESPUESTA 51
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 375 FALLO
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 50792 || MENSAJE CLIENTE: RESPUESTA 110
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 50792 || MENSAJE CLIENTE: RESPUESTA 554
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 50792 || MENSAJE CLIENTE: +
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 250 Adivina el valor entre 0 y 100#4
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 50792 || MENSAJE CLIENTE: RESPU 34
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 50792 || MENSAJE CLIENTE: RESPUESTA 110
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 354 MENOR#3
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 50792 || MENSAJE CLIENTE: RESPUESTA 554
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 354 MENOR#2
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 50792 || MENSAJE CLIENTE: ADIOS
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:28:56 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 221 Cerrando el Servicio
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 220 Servicio Preparado
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 46743 || MENSAJE CLIENTE: HOLA
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 250 Adivina el valor entre 0 y 100#4
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 46743 || MENSAJE CLIENTE: RESPUESTA no lo se
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 46743 || MENSAJE CLIENTE: RESPUESTA 67
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 354 MENOR#3
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 46743 || MENSAJE CLIENTE: RESPUESTA 110
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 354 MENOR#2
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 46743 || MENSAJE CLIENTE: RESPUESTA 220
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 354 MENOR#1
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 46743 || MENSAJE CLIENTE: +
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 46743 || MENSAJE CLIENTE: RESPUESTA 51
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 375 FALLO
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 46743 || MENSAJE CLIENTE: RESPUESTA 110
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 46743 || MENSAJE CLIENTE: RESPUESTA 554
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 46743 || MENSAJE CLIENTE: +
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 250 Adivina el valor entre 0 y 100#4
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 46743 || MENSAJE CLIENTE: RESPU 34
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 46743 || MENSAJE CLIENTE: RESPUESTA 110
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 354 MENOR#3
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 46743 || MENSAJE CLIENTE: RESPUESTA 554
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 354 MENOR#2
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 46743 || MENSAJE CLIENTE: ADIOS
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:29:06 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 221 Cerrando el Servicio
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:31:08 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 220 Servicio Preparado
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:31:08 || Respuesta enviada al servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 50168 || MENSAJE CLIENTE: HOLA
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 13:31:08 || Respuesta recibida del servidor: localhost || IP: 127.0.0.1 || PROTOCOLO: UDP || PUERTO: 39004 || MENSAJE SERVIDOR: 250 Adivina el valor entre 0 y 100#4
